Id,Weekly_Sales
1_1_2012-11-02,8448.46587135002
1_1_2012-11-09,8461.56268570682
1_1_2012-11-16,8474.67302819811
1_1_2012-11-23,8487.796905807116
1_1_2012-11-30,8500.934325517062
1_1_2012-12-07,8514.085294311166
1_1_2012-12-14,8527.249819172655
1_1_2012-12-21,8540.427907084757
1_1_2012-12-28,8553.619565030685
1_1_2013-01-04,8566.824799993672
1_1_2013-01-11,8580.043618956941
1_1_2013-01-18,8593.27602890371
1_1_2013-01-25,8606.522036817207
1_1_2013-02-01,8619.781649680657
1_1_2013-02-08,8646.3417181903
1_1_2013-02-15,8659.642187802941
1_1_2013-02-22,8672.956290298434
1_1_2013-03-01,8686.284032659993
1_1_2013-03-08,8699.625421870842
1_1_2013-03-15,8712.980464914215
1_1_2013-03-22,8726.349168773322
1_1_2013-03-29,8739.731540431394
1_1_2013-04-05,8753.12758687166
1_1_2013-04-12,8766.537315077332
1_1_2013-04-19,8779.960732031639
1_1_2013-04-26,8793.39784471781
1_1_2013-05-03,8806.84866011906
1_1_2013-05-10,8820.313185218616
1_1_2013-05-17,8833.791426999707
1_1_2013-05-24,8847.283392445548
1_1_2013-05-31,8860.789088539364
1_1_2013-06-07,8874.308522264384
1_1_2013-06-14,8887.841700603834
1_1_2013-06-21,8901.388630540927
1_1_2013-06-28,8914.949319058893
1_1_2013-07-05,8928.52377314096
1_1_2013-07-12,8942.11199977034
1_1_2013-07-19,8969.329798603965
1_1_2013-07-26,8982.95938477465
1_2_2012-11-02,8996.602771425547
1_2_2012-11-09,9023.93097410089
1_2_2012-11-16,9051.314462495773
1_2_2012-11-23,9078.753292475987
1_2_2012-11-30,9092.493478018654
1_2_2012-12-07,9133.797200655577
1_2_2012-12-14,9175.225818953582
1_2_2012-12-21,9189.063145565982
1_2_2012-12-28,9216.779521459706
1_2_2013-01-04,9230.65858470749
1_2_2013-01-11,9244.551574133508
1_2_2013-01-18,9342.193019697203
1_2_2013-01-25,9398.295582785651
1_2_2013-02-01,9412.356231042022
1_2_2013-02-08,9440.519585418428
1_2_2013-02-15,9511.173634781317
1_2_2013-02-22,9525.346614249145
1_2_2013-03-01,9539.533666542913
1_2_2013-03-08,9553.734798645848
1_2_2013-03-15,9567.950017541167
1_2_2013-03-22,9596.42274364186
1_2_2013-03-29,9624.951900710783
1_2_2013-04-05,9667.851566586021
1_2_2013-04-12,9682.179731216493
1_2_2013-04-19,9696.522045488358
1_2_2013-04-26,9710.878516384848
1_2_2013-05-03,9725.249150889185
1_2_2013-05-10,9739.633955984598
1_2_2013-05-17,9754.032938654302
1_2_2013-05-24,9768.446105881525
1_2_2013-05-31,9782.873464649494
1_2_2013-06-07,9797.315021941426
1_2_2013-06-14,8557.62064270429
1_2_2013-06-21,8570.829994245598
1_2_2013-06-28,8584.052931903798
1_2_2013-07-05,8597.289462662118
1_2_2013-07-12,8610.539593503789
1_2_2013-07-19,8623.803331412024
1_2_2013-07-26,8637.080683370052
1_3_2012-11-02,8650.3716563611
1_3_2012-11-09,8663.676257368383
1_3_2012-11-16,8676.99449337513
1_3_2012-11-23,8690.32637136457
1_3_2012-11-30,8703.671898319915
1_3_2012-12-07,8717.031081224395
1_3_2012-12-14,8730.40392706124
1_3_2012-12-21,8757.190635464887
1_3_2012-12-28,8770.604511998143
1_3_2013-01-04,8784.032079396657
1_3_2013-01-11,8797.473344643644
1_3_2013-01-18,8810.928314722332
1_3_2013-01-25,8824.396996615948
1_3_2013-02-01,8837.879397307708
1_3_2013-02-08,8851.37552378084
1_3_2013-02-15,8864.885383018573
1_3_2013-02-22,8878.408982004119
1_3_2013-03-01,8891.946327720709
1_3_2013-03-08,8905.49742715157
1_3_2013-03-15,8919.062287279916
1_3_2013-03-22,8932.640915088978
1_3_2013-03-29,8946.233317561975
1_3_2013-04-05,8959.83950168214
1_3_2013-04-12,8973.459474432686
1_3_2013-04-19,8987.09324279684
1_3_2013-04-26,9000.740813757831
1_3_2013-05-03,9014.402194298875
1_3_2013-05-10,9028.077391403198
1_3_2013-05-17,9041.76641205403
1_3_2013-05-24,9055.469263234585
1_3_2013-05-31,9082.916485117776
1_3_2013-06-07,9096.660869786854
1_3_2013-06-14,9110.419112918556
1_3_2013-06-21,9137.977202502725
1_3_2013-06-28,9165.590809736064
1_3_2013-07-05,9193.25999048437
1_3_2013-07-12,9207.115438384692
1_3_2013-07-19,9248.765295989027
1_3_2013-07-26,9290.540571096111
1_4_2012-11-02,9304.49356594302
1_4_2012-11-09,9332.441452252982
1_4_2012-11-16,9346.43635768249
1_4_2012-11-23,9360.445247272653
1_4_2012-11-30,9458.899617492729
1_4_2012-12-07,9515.467984569215
1_4_2012-12-14,9529.645228778614
1_4_2012-12-21,9558.0419490083
1_4_2012-12-28,9629.280427696522
1_4_2013-01-04,9643.57046697664
1_4_2013-01-11,9657.874637065104
1_4_2013-01-18,9672.192944945144
1_4_2013-01-25,9686.525397599973
1_4_2013-02-01,9715.232765166913
1_4_2013-02-08,9743.996795631712
1_4_2013-02-15,9787.24920646882
1_4_2013-02-22,9801.695068718058
1_4_2013-03-01,9816.155138591108
1_4_2013-03-08,9830.629423071185
1_4_2013-03-15,9845.117929141516
1_4_2013-03-22,9859.620663785332
1_4_2013-03-29,9874.137633985845
1_4_2013-04-05,9888.668846726285
1_4_2013-04-12,9903.21430898988
1_4_2013-04-19,9917.774027759842
1_4_2013-04-26,8500.674995172014
1_4_2013-05-03,8513.825696577163
1_4_2013-05-10,8526.989953911921
1_4_2013-05-17,8540.167774159514
1_4_2013-05-24,8553.359164303158
1_4_2013-05-31,8566.564131326078
1_4_2013-06-07,8579.782682211506
1_4_2013-06-14,8593.014823942654
1_4_2013-06-21,8606.26056350275
1_4_2013-06-28,8619.519907875027
1_4_2013-07-05,8632.792864042693
1_4_2013-07-12,8646.079438988982
1_4_2013-07-19,8659.379639697112
1_4_2013-07-26,8672.693473150317
